Event ID,FinalRank,Name,PDGANumber,Rating
47446,,Anniken Steen,109996,915
47446,,Eveliina Salonen,64927,966
47446,,Henna Blomroos,59227,966
47446,,Ingvild Lønvik,118782,851
47446,,Jessica Weese,50656,950
47446,,Katarina Staalesen,66898,889
47446,,Keiti Tätte,94085,912
47446,,Kona Star Panis,27832,927
47446,,Kristin Tattar,73986,964
47446,,Lykke Lorentzen,99441,937
47446,,Paige Pierce,29190,996
47446,,Pia Andersson,111514,865
47446,,Rebecca Cox,32917,934
47446,,Sarah Hokom,34563,963
47835,,Holly Finley,51277,930
47835,,Missy Gannon,85942,949
47835,,Sarah Hokom,34563,963
47877,1,Paige Pierce,29190,991
47877,2,Catrina Allen,44184,962
47877,3,Jessica Weese,50656,948
47877,4,Ohn Scoggins,48976,949
47877,5,Hailey King,81351,962
47877,6,Kona Star Panis,27832,926
47877,6,Sarah Hokom,34563,967
47877,8,Rebecca Cox,32917,929
47877,9,Missy Gannon,85942,951
47877,10,Valerie Mandujano,62879,956
47877,11,Madison Walker,59431,936
47877,11,Nicole Bradley,51229,939
47877,13,Callie McMorran,64751,928
47877,14,Lisa Fajkus,32654,938
47877,14,Maria Oliva,63257,921
47877,16,Zoe AnDyke,39504,936
47877,17,Holyn Handley,133547,903
47877,18,Jennifer Allen,15354,943
47877,19,Cynthia Ricciotti,75029,910
47877,19,Madison Tomaino,60798,920
47877,21,Alexis Mandujano,62880,928
47877,22,Holly Finley,51277,932
47877,23,Ella Hansen,144112,899
47877,24,Amy Bilodeau,63005,850
47877,24,Sai Ananda,58303,927
47877,26,Erika Stinchcomb,71262,924
47877,26,Melodie Bailey,34751,932
47877,28,Elyse Reveles,109383,887
47877,28,Katelyn Belty,106422,864
47877,28,Raven Klein,138272,860
47877,31,Deann Carey,66842,916
47877,32,Alyssa Weatherford,143049,879
47877,33,Carli Beith,85978,899
47877,33,Courtney Cannon,70634,915
47877,35,Marysa Rosta,87523,831
47877,36,Leah Tsinajinnie,139109,848
47877,36,Sami Keddington,52010,875
47877,38,Laura Allocco,104030,872
47877,39,Kat Mertsch,99455,901
47877,39,Mei Bruist,147568,818
47877,41,Sandra Richardson,56987,873
47877,42,Carolina Halstead,113817,855
47877,43,Rachel Trager,112608,809
47877,44,Alyssa Pierson,122118,825
47877,45,TONI OSIECKI,32716,769
47877,46,Samii The Tutu Maes,84007,644
47888,1,Catrina Allen,44184,966
47888,2,Heather Young,100965,948
47888,3,Missy Gannon,85942,949
47888,4,Lisa Fajkus,32654,938
47888,4,Valerie Mandujano,62879,948
47888,4,Kona Star Panis,27832,927
47888,7,Jessica Weese,50656,950
47888,8,Alexis Mandujano,62880,925
47888,8,Hailey King,81351,965
47888,10,Casey Pennington,74708,921
47888,11,Vanessa Van Dyken,62325,941
47888,12,Holly Finley,51277,930
47888,13,Kat Mertsch,99455,900
47888,14,Stacie Rawnsley,122208,893
47888,14,Rebecca Cox,32917,934
47888,16,Maria Oliva,63257,912
47888,17,Deann Carey,66842,915
47888,18,Hannah McBeth,66939,910
47888,18,Megan Ramirez,95481,877
47888,18,Krissie Fountain,73693,906
47888,21,Julie Eagle,78135,902
47888,22,Cynthia Ricciotti,75029,909
47888,23,Shannon Prendergast,65961,900
47888,24,Alyssa Pierson,122118,833
47888,25,Sheila Kirkham,7646,842
47888,26,Renae Farr,84208,859
47888,27,Erin Reynolds,88066,798
47981,,Kat Mertsch,99455,900
47981,,Alexis Mandujano,62880,925
47981,,Ashleh Baumann,76500,904
47981,,Callie McMorran,64751,932
47981,,Casey Pennington,74708,921
47981,,Catrina Allen,44184,966
47981,,Christine Jennings,88568,920
47981,,Courtney Cannon,70634,912
47981,,Cynthia Ricciotti,75029,909
47981,,Deann Carey,66842,915
47981,,Ellen Widboom,58276,943
47981,,Erika Stinchcomb,71262,922
47981,,Hailey King,81351,965
47981,,Heather Young,100965,948
47981,,Holly Finley,51277,930
47981,,Jenny Munn,65131,861
47981,,Jessica Weese,50656,950
47981,,Julie Eagle,78135,902
47981,,Kaylee Campbell,59624,934
47981,,Kona Star Panis,27832,927
47981,,Lisa Fajkus,32654,938
