Event Name,Event ID,EventType,EventLength,Event Date
LVC,47877,Elite,4,2/25/2021
Waco,48685,Elite,3,3/12/2021
Open at Belton,47888,Silver,3,3/19/2021
Vintage Open,48119,Silver,3,4/8/2021
Jonesboro,48567,Elite,3,4/16/2021
Mid-America,48121,Silver,3,4/23/2021
Goat Hill,48283,Silver,3,5/7/2021
OTBO,48172,Elite,3,5/14/2021
Portland,48686,Elite,3,6/4/2021
Clash at the Canyons,48112,Silver,3,7/2/2021
PCS Sula Open,47446,Elite,4,7/7/2021
DGLO,48338,Elite,3,7/23/2021
Preserve,48687,Elite,3,7/30/2021
Ledgestone,47981,Elite,4,8/5/2021
Idlewild,48688,Elite,3,8/13/2021
Stafford,47835,Silver,3,8/20/2021
MVP Open,49214,Elite,3,9/3/2021
GMC,48690,Elite,4,9/9/2021
