,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
0,Richard Wysocki,38008,MPO,NT,1000,1000,1000,1.091,0,0,0,4,955.0,23.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hailey King,81351,FPO,NT,1000,1000,1000,2.666,0,0,0,3,0.0,336.0,662.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Matthew Orum,18330,MPO,NT,0,444,951,18.868,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,56.0,84.0,77.0,65.0,70.0,68.0,47.0,45.0,58.0,60.0,58.0,35.0,39.0,22.0,22.0,28.0,23.0,22.0,15.0,14.0,8.0,11.0,17.0,22.0,6.0,2.0
3,Holly Finley,51277,FPO,NT,664,1000,1000,7.823,0,0,0,3,0.0,0.0,1.0,25.0,193.0,180.0,153.0,112.0,88.0,77.0,44.0,44.0,49.0,18.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Paul McBeth,27523,MPO,NT,1000,1000,1000,3.617,0,0,0,3,1.0,116.0,309.0,413.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Rebecca Cox,32917,FPO,NT,0,204,1000,18.387,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,33.0,32.0,52.0,62.0,53.0,73.0,164.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chris Dickerson,62467,MPO,NT,901,998,1000,6.165,0,0,0,3,0.0,0.0,21.0,121.0,271.0,303.0,117.0,68.0,43.0,19.0,7.0,3.0,6.0,8.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Catrina Allen,44184,FPO,NT,1000,1000,1000,1.0,0,0,0,4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alexis Mandujano,62880,FPO,NT,0,999,1000,13.901,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,251.0,463.0,206.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Missy Gannon,85942,FPO,NT,331,1000,1000,8.933,0,0,0,3,0.0,0.0,0.0,0.0,0.0,9.0,76.0,246.0,367.0,247.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
