,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO
0,Richard Wysocki,38008,MPO,NT,1000,1000,1000,1.105,0,0,0,4
1,Hailey King,81351,FPO,NT,1000,1000,1000,2.648,0,0,0,3
2,Matthew Orum,18330,MPO,NT,0,438,956,18.85,0,0,0,2
3,Holly Finley,51277,FPO,NT,702,1000,1000,7.648,0,0,0,3
4,Paul McBeth,27523,MPO,NT,1000,1000,1000,3.66,0,0,0,3
5,Rebecca Cox,32917,FPO,NT,0,200,1000,18.429,0,0,0,3
6,Chris Dickerson,62467,MPO,NT,857,998,1000,6.358,0,0,0,3
7,Catrina Allen,44184,FPO,NT,1000,1000,1000,1.0,0,0,0,4
8,Alexis Mandujano,62880,FPO,NT,0,1000,1000,13.883,0,0,0,3
9,Missy Gannon,85942,FPO,NT,337,1000,1000,8.932,0,0,0,3
10,Garrett Gurthie,13864,MPO,NT,95,657,1000,15.115,0,0,0,4
11,Kevin Jones,41760,MPO,NT,965,1000,1000,6.895,0,0,0,3
12,Calvin Heimburg,45971,MPO,NT,964,1000,1000,3.9,0,0,0,4
13,Valerie Mandujano,62879,FPO,NT,0,1000,1000,11.292,0,0,0,3
14,James Conrad,17295,MPO,NT,949,1000,1000,4.081,0,0,0,4
15,Eagle Wynne McMahon,37817,MPO,NT,0,440,1000,16.754,0,0,0,2
16,Jessica Weese,50656,FPO,NT,733,999,1000,7.465,0,0,0,4
17,Casey White,81739,MPO,NT,412,943,1000,10.263,0,0,0,4
18,Sarah Hokom,34563,FPO,NT,44,916,1000,12.888,0,0,0,3
19,Ohn Scoggins,48976,FPO,NT,0,865,1000,15.609,0,0,0,3
20,Gregg Barsby,15857,MPO,NT,0,958,1000,13.887,0,0,0,3
21,Paige Pierce,29190,FPO,NT,998,1000,1000,4.078,0,0,0,3
