,,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points,Actual Points
FinalStandings,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,322,323,324,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488
Name,PDGANumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Herr,56485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,12,10,11,24,22,31,36,55,56,71,75,66,85,77,70,57,46,51,48,27,16,19,11,7,4,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Risley,25890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,2,2,2,3,3,3,3,5,2,9,2,2,5,5,4,3,6,9,4,5,5,8,7,7,8,5,7,4,4,12,9,10,12,15,12,6,5,11,4,10,12,3,15,4,13,6,9,10,9,10,4,4,14,12,13,6,13,9,11,7,6,11,10,6,14,10,5,6,7,7,2,6,8,5,9,7,4,3,7,7,9,6,7,5,12,8,9,7,6,5,7,5,6,12,8,4,7,10,7,8,3,5,4,4,11,8,9,10,6,4,6,6,3,6,5,7,6,3,5,3,4,2,6,5,2,7,4,2,4,5,2,6,1,5,4,4,6,6,2,5,1,1,2,3,2,1,3,7,1,2,2,2,4,5,8,2,2,3,4,4,5,4,3,3,2,1,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Carey,61770,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,4,2,4,3,3,2,4,11,6,4,7,6,8,10,11,8,5,7,7,4,7,16,16,16,15,13,13,19,16,20,14,15,15,27,20,20,24,13,27,19,21,15,21,16,18,24,16,14,8,18,7,13,21,15,18,7,8,18,13,6,15,7,18,6,5,4,12,5,10,8,8,15,4,9,8,0,1,5,6,9,3,8,5,0,2,0,3,2,1,0,1,3,7,2,3,2,5,6,2,1,1,1,1,2,3,1,0,1,0,0,0,0,1,0,1,2,2,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron DeVries,62322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,3,0,0,2,0,1,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,3,2,11,9,11,24,22,29,35,52,55,66,72,59,81,74,60,52,39,48,42,25,16,17,10,7,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Gossage,35449,0,0,0,0,0,1,4,2,5,6,3,6,1,8,14,14,10,6,19,12,17,22,11,21,17,19,18,25,19,22,18,22,18,23,17,25,24,26,17,28,21,16,12,21,19,22,24,12,16,16,22,19,19,21,12,10,11,10,12,10,10,11,7,8,5,9,4,11,7,5,3,3,13,7,3,3,2,2,1,7,1,1,1,6,2,1,1,2,2,3,1,2,1,1,1,2,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrahan Bahena,53558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,2,1,1,1,0,2,3,0,3,1,4,1,1,3,4,4,1,0,2,1,1,3,2,1,0,2,3,1,0,3,4,1,4,4,4,5,2,1,4,2,2,5,6,2,3,3,2,1,5,4,4,3,3,3,3,0,1,3,9,2,4,4,4,4,2,1,3,3,1,8,3,4,2,5,3,4,3,4,2,3,0,1,2,4,2,2,1,1,1,2,1,0,2,2,2,1,1,0,1,1,0,0,1,0,0,0,2,1,2,1,1,1,3,2,1,0,3,3,1,5,0,3,1,1,1,1,0,1,0,3,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,3,4,5,14,19,16,24,48,57,74,69,67,74,59,57,36,30,15,12,5,0,1,0,0
Adam Hammes,57365,2,0,20,23,43,52,71,79,77,59,62,49,50,32,43,40,34,29,22,20,13,23,26,17,12,12,9,2,8,8,6,3,10,8,4,5,5,3,3,2,6,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Morrison,36514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,5,1,1,1,0,1,0,4,1,1,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,7,13,15,23,52,69,95,94,101,113,93,92,57,55,33,18,7,5,2,1,1
