EventTour,LookupRankForPoints,Points
DGPT,1,100
DGPT,2,85
DGPT,3,75
DGPT,4,69
DGPT,5,64
DGPT,6,60
DGPT,7,57
DGPT,8,54
DGPT,9,52
DGPT,10,50
DGPT,11,48
DGPT,12,46
DGPT,13,44
DGPT,14,42
DGPT,15,40
DGPT,16,38
DGPT,17,36
DGPT,18,34
DGPT,19,32
DGPT,20,30
DGPT,21,29
DGPT,22,28
DGPT,23,27
DGPT,24,26
DGPT,25,25
DGPT,26,24
DGPT,27,23
DGPT,28,22
DGPT,29,21
DGPT,30,20
DGPT,31,19
DGPT,32,18
DGPT,33,17
DGPT,34,16
DGPT,35,15
DGPT,36,14
DGPT,37,13
DGPT,38,12
DGPT,39,11
DGPT,40,10
DGPT,41,9
DGPT,42,8
DGPT,43,7
DGPT,44,6
DGPT,45,5
DGPT,46,4
DGPT,47,3
DGPT,48,2
DGPT,49,2
DGPT,50,2
DGPT,51,1
DGPT,52,1
DGPT,53,1
DGPT,54,1
DGPT,55,1
DGPT,56,1
DGPT,57,1
DGPT,58,1
DGPT,59,1
DGPT,60,1
DGPT,61,1
DGPT,62,1
DGPT,63,1
DGPT,64,1
DGPT,65,1
DGPT,66,1
DGPT,67,1
DGPT,68,1
DGPT,69,1
DGPT,70,1
DGPT,71,1
DGPT,72,1
DGPT,73,1
DGPT,74,1
DGPT,75,1
DGPT,76,1
DGPT,77,1
DGPT,78,1
DGPT,79,1
DGPT,80,1
DGPT,81,1
DGPT,82,1
DGPT,83,1
DGPT,84,1
DGPT,85,1
DGPT,86,1
DGPT,87,1
DGPT,88,1
DGPT,89,1
DGPT,90,1
DGPT,91,1
DGPT,92,1
DGPT,93,1
DGPT,94,1
DGPT,95,1
DGPT,96,1
DGPT,97,1
DGPT,98,1
DGPT,99,1
DGPT,100,1
DGPT,101,1
DGPT,102,1
DGPT,103,1
DGPT,104,1
DGPT,105,1
DGPT,106,1
DGPT,107,1
DGPT,108,1
DGPT,109,1
DGPT,110,1
DGPT,111,1
DGPT,112,1
DGPT,113,1
DGPT,114,1
DGPT,115,1
DGPT,116,1
DGPT,117,1
DGPT,118,1
DGPT,119,1
DGPT,120,1
DGPT,121,1
DGPT,122,1
DGPT,123,1
DGPT,124,1
DGPT,125,1
DGPT,126,1
DGPT,127,1
DGPT,128,1
DGPT,129,1
DGPT,130,1
DGPT,131,1
DGPT,132,1
DGPT,133,1
DGPT,134,1
DGPT,135,1
DGPT,136,1
DGPT,137,1
DGPT,138,1
DGPT,139,1
DGPT,140,1
DGPT,141,1
DGPT,142,1
DGPT,143,1
DGPT,144,1
DGPT,145,1
DGPT,146,1
DGPT,147,1
DGPT,148,1
DGPT,149,1
DGPT,150,1
NT,1,100
NT,2,95
NT,3,91
NT,4,88
NT,5,85
NT,6,82
NT,7,80
NT,8,78
NT,9,76
NT,10,74
NT,11,72
NT,12,70
NT,13,68
NT,14,66
NT,15,64
NT,16,62
NT,17,60
NT,18,58
NT,19,56
NT,20,54
NT,21,52
NT,22,50
NT,23,48
NT,24,46
NT,25,44
NT,26,42
NT,27,40
NT,28,38
NT,29,36
NT,30,34
NT,31,33
NT,32,32
NT,33,31
NT,34,30
NT,35,29
NT,36,28
NT,37,27
NT,38,26
NT,39,25
NT,40,24
PDPT,1,100
PDPT,2,97
PDPT,3,94
PDPT,4,91
PDPT,5,88
PDPT,6,85
PDPT,7,82
PDPT,8,79
PDPT,9,76
PDPT,10,73
PDPT,11,70
PDPT,12,67
PDPT,13,64
PDPT,14,61
PDPT,15,58
PDPT,16,55
PDPT,17,52
PDPT,18,49
PDPT,19,46
PDPT,20,43
PDPT,21,40
PDPT,22,37
PDPT,23,34
PDPT,24,31
PDPT,25,28
PDPT,26,25
PDPT,27,22
PDPT,28,19
PDPT,29,16
PDPT,30,3
