EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47512,MPO,1,1400,Richard Wysocki,38008,1053,-28,55,52,51,,158,"$5,000",,,
47512,FPO,1,222,Hailey King,81351,965,-7,60,64,61,,185,"$3,000",,,
47512,MPO,2,1390,Matthew Orum,18330,1034,-24,55,52,55,,162,"$4,000",,,
47512,FPO,2,216,Holly Finley,51277,930,-4,61,65,62,,188,"$2,000",,,
47512,MPO,3,1380,Paul McBeth,27523,1051,-22,56,54,54,,164,"$2,505",,,
47512,FPO,3,210,Rebecca Cox,32917,934,-3,58,68,63,,189,"$1,500",,,
47512,MPO,3,1380,Chris Dickerson,62467,1049,-22,53,55,56,,164,"$2,505",,,
47512,FPO,4,204,Catrina Allen,44184,966,-1,62,63,66,,191,"$1,000",,,
47512,FPO,4,204,Alexis Mandujano,62880,925,-1,66,62,63,,191,"$1,000",,,
47512,FPO,4,204,Missy Gannon,85942,949,-1,65,61,65,,191,"$1,000",,,
47512,MPO,5,1360,Garrett Gurthie,13864,1036,-18,56,57,55,,168,"$1,400",,,
47512,MPO,5,1360,Kevin Jones,41760,1037,-18,58,51,59,,168,"$1,400",,,
47512,MPO,5,1360,Calvin Heimburg,45971,1054,-18,55,55,58,,168,"$1,400",,,
47512,FPO,7,186,Valerie Mandujano,62879,948,E,65,61,66,,192,$700,,,
47512,MPO,8,1330,James Conrad,17295,1030,-17,55,59,55,,169,"$1,100",,,
47512,MPO,8,1330,Eagle Wynne McMahon,37817,1056,-17,57,56,56,,169,"$1,100",,,
47512,FPO,8,180,Jessica Weese,50656,950,1,61,66,66,,193,$600,,,
47512,MPO,8,1330,Casey White,81739,1014,-17,52,56,61,,169,"$1,100",,,
47512,FPO,9,174,Sarah Hokom,34563,963,2,67,60,67,,194,$450,,,
47512,FPO,9,174,Ohn Scoggins,48976,951,2,61,66,67,,194,$450,,,
47512,MPO,11,1300,Gregg Barsby,15857,1020,-16,58,57,55,,170,$765,,,
47512,FPO,11,162,Paige Pierce,29190,996,4,64,69,63,,196,$300,,,
47512,MPO,11,1300,Jeremy Koling,33705,1028,-16,52,61,57,,170,$765,,,
47512,MPO,11,1300,Nathan Queen,68286,1028,-16,58,60,52,,170,$765,,,
47512,MPO,11,1300,Joel Freeman,69509,1027,-16,53,57,60,,170,$765,,,
47512,MPO,11,1300,Alden Harris,98091,1023,-16,58,56,56,,170,$765,,,
47512,FPO,12,156,Heather Young,100965,948,5,68,66,63,,197,$275,,,
47512,FPO,13,150,Stephanie Vincent,29947,927,6,63,65,70,,198,$250,,,
47512,FPO,13,150,Lisa Fajkus,32654,938,6,63,66,69,,198,$250,,,
47512,FPO,13,150,Erika Stinchcomb,71262,922,6,67,64,67,,198,$250,,,
47512,MPO,16,1250,Nikko Locastro,11534,1030,-15,58,53,60,,171,$613,,,
47512,MPO,16,1250,Emerson Keith,47472,1021,-15,56,54,61,,171,$613,,,
47512,MPO,16,1250,Terry Rothlisberger,57493,1015,-15,59,55,57,,171,$613,,,
47512,MPO,16,1250,Austin Hoop,72423,1026,-15,58,57,56,,171,$613,,,
47512,FPO,16,132,Kat Mertsch,99455,900,7,67,67,65,,199,,,,
47512,FPO,17,126,Casey Pennington,74708,921,8,70,65,65,,200,,,,
47512,FPO,18,120,Sara Sinclair,41012,912,9,64,69,68,,201,,,,
47512,FPO,18,120,Sami Keddington,52010,878,9,65,70,66,,201,,,,
47512,FPO,18,120,Maria Oliva,63257,912,9,71,65,65,,201,,,,
47512,MPO,20,1210,Chandler Fry,25541,1014,-13,60,57,56,,173,$545,,,
47512,MPO,20,1210,Colten Montgomery,35876,1023,-13,62,54,57,,173,$545,,,
47512,MPO,20,1210,Alex Russell,66362,1018,-13,60,55,58,,173,$545,,,
47512,MPO,20,1210,Kyle Klein,85132,1020,-13,61,57,55,,173,$545,,,
47512,FPO,21,102,Ellen Widboom,58276,943,10,66,71,65,,202,,,,
47512,FPO,21,102,Krissie Fountain,73693,906,10,70,65,67,,202,,,,
47512,FPO,23,90,Des Reading,15863,900,11,71,66,66,,203,,,,
47512,MPO,24,1170,Brian Earhart,45879,1018,-12,60,53,61,,174,$490,,,
47512,MPO,24,1170,Matt Bell,48950,1020,-12,54,57,63,,174,$490,,,
47512,MPO,24,1170,Ezra Robinson,50671,1028,-12,59,58,57,,174,$490,,,
47512,MPO,24,1170,Adam Hammes,57365,1039,-12,63,52,59,,174,$490,,,
47512,MPO,24,1170,Nate Perkins,65737,1008,-12,59,57,58,,174,$490,,,
47512,FPO,24,84,Julie Eagle,78135,902,14,71,69,66,,206,,,,
47512,MPO,24,1170,Raven Newsom,88212,1016,-12,62,56,56,,174,$490,,,
47512,MPO,24,1170,Brodie Smith,128378,1002,-12,57,59,58,,174,$490,,,
47512,FPO,25,78,Deann Carey,66842,915,15,70,65,72,,207,,,,
47512,FPO,26,72,Kona Star Panis,27832,927,16,65,69,74,,208,,,,
47512,FPO,26,72,Stacie Rawnsley,122208,893,16,68,72,68,,208,,,,
47512,FPO,28,60,Shannon Prendergast,65961,900,17,67,71,71,,209,,,,
47512,FPO,28,60,Hannah McBeth,66939,910,17,70,74,65,,209,,,,
47512,FPO,30,48,Jenny Umstead,42066,879,21,72,72,69,,213,,,,
47512,MPO,31,1100,Miles Seaborn,29264,1014,-11,60,56,59,,175,$435,,,
47512,MPO,31,1100,Bradley Williams,31644,1021,-11,59,60,56,,175,$435,,,
47512,MPO,31,1100,Zach Melton,38631,1012,-11,60,57,58,,175,$435,,,
47512,MPO,31,1100,Chris Clemons,50401,1027,-11,60,53,62,,175,$435,,,
47512,FPO,31,42,Esther Schultz,79049,883,22,72,70,72,,214,,,,
