,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
0,Richard Wysocki,38008,MPO,NT,1000,1000,1000,1.067,0,0,0,4,962.0,21.0,11.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hailey King,81351,FPO,NT,1000,1000,1000,2.68,0,0,0,3,0.0,320.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Matthew Orum,18330,MPO,NT,0,434,954,18.856,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,60.0,72.0,74.0,81.0,68.0,55.0,68.0,52.0,51.0,35.0,48.0,47.0,36.0,34.0,27.0,23.0,36.0,26.0,16.0,9.0,6.0,6.0,17.0,13.0,11.0,4.0
3,Holly Finley,51277,FPO,NT,654,999,1000,7.796,0,0,0,3,0.0,0.0,1.0,31.0,202.0,164.0,157.0,99.0,100.0,67.0,60.0,45.0,41.0,18.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Paul McBeth,27523,MPO,NT,1000,1000,1000,3.651,0,0,0,3,0.0,85.0,338.0,418.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Rebecca Cox,32917,FPO,NT,0,166,1000,18.543,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,14.0,19.0,29.0,39.0,58.0,60.0,74.0,215.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chris Dickerson,62467,MPO,NT,868,995,1000,6.364,0,0,0,3,0.0,0.0,19.0,127.0,279.0,284.0,86.0,73.0,44.0,27.0,9.0,11.0,7.0,7.0,13.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Catrina Allen,44184,FPO,NT,1000,1000,1000,1.0,0,0,0,4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alexis Mandujano,62880,FPO,NT,0,999,1000,13.883,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,278.0,434.0,218.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Missy Gannon,85942,FPO,NT,322,1000,1000,8.979,0,0,0,3,0.0,0.0,0.0,0.0,0.0,7.0,80.0,235.0,344.0,274.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Garrett Gurthie,13864,MPO,NT,86,664,1000,14.884,0,0,0,4,0.0,0.0,0.0,0.0,0.0,3.0,8.0,75.0,112.0,102.0,109.0,74.0,74.0,43.0,33.0,31.0,32.0,40.0,40.0,26.0,28.0,12.0,13.0,15.0,32.0,27.0,27.0,27.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
11,Kevin Jones,41760,MPO,NT,986,1000,1000,6.89,0,0,0,3,0.0,0.0,0.0,6.0,32.0,261.0,483.0,204.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Calvin Heimburg,45971,MPO,NT,974,1000,1000,3.754,0,0,0,4,8.0,285.0,259.0,161.0,145.0,64.0,35.0,17.0,12.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Valerie Mandujano,62879,FPO,NT,2,1000,1000,11.342,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,147.0,371.0,338.0,104.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,James Conrad,17295,MPO,NT,956,1000,1000,4.027,0,0,0,4,13.0,276.0,201.0,140.0,160.0,109.0,27.0,30.0,27.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Eagle Wynne McMahon,37817,MPO,NT,0,434,1000,16.756,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,61.0,133.0,225.0,253.0,182.0,92.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
