rank,pdga_number,name,rating,starts,points
1,133547,Holyn Handley,987,11,1548.34
2,107335,Silva Saarinen,990,11,1414.84
3,48976,Ohn Scoggins,989,10,1219.0
4,85942,Missy Gannon,984,10,1210.5
5,144112,Ella Hansen,974,11,1127.75
6,64927,Eveliina Salonen,982,7,1014.67
7,44184,Catrina Allen,963,12,923.75
8,99455,Kat Mertsch,966,13,868.17
9,59227,Henna Blomroos,974,7,825.5
10,111487,Emily Weatherman,955,12,773.33
11,66599,Heidi Laine,963,12,729.5
12,208576,Rebecca Don,960,10,715.66
13,189702,Taylor Chocek,950,10,712.45
14,229526,Sintija Klezberga,951,8,697.75
15,62879,Valerie Mandujano,975,6,673.16
16,109996,Anniken Kristiansen Steen,962,7,653.79
17,29190,Paige Pierce,968,8,650.42
18,198446,Eliezra Midtlyng,944,13,645.58
19,50656,Jessica Gurthie,955,9,608.0
20,32654,Lisa Fajkus,959,10,593.83
21,59431,Madison Walker,952,10,568.83
22,112647,Hanna Huynh,963,7,561.0
23,185534,Sofia Donnecke,964,7,547.5
24,27832,Kona Star Montgomery,946,9,478.0
25,138272,Raven Klein,943,10,437.5
26,85484,Anneli Tõugjas-Männiste,959,6,409.5
27,32917,Rebecca Cox,952,10,397.0
28,216558,Iida Lehtomäki,965,3,387.5
29,277832,Chandler Reigh,937,8,374.0
30,62880,Alexis Mandujano,960,5,352.5
31,146137,Dani K. Hart,950,9,349.5
32,155026,Amanda Lennartsson,930,4,349.0
33,184736,Jennifer Smiley,935,11,337.75
34,210972,Kristýna Jurčíková,962,2,331.0
35,15354,Jennifer Allen,970,4,313.0
36,224238,Julia Fors,951,2,308.5
37,104187,Macie Velediaz,957,4,294.67
38,152191,Kelley Foster,933,9,280.5
39,181772,Ida Emilie Nesse,950,4,263.5
40,104314,Violet Main,947,4,250.0
41,63257,Maria Oliva,917,9,237.0
42,168863,Trinity Bryant,919,8,233.0
43,71262,Erika Stinchcomb,920,11,222.25
44,77385,Matilda Ringbom,938,2,217.0
45,51277,Holly Finley,929,5,214.0
46,146304,MJ Gager,932,4,160.5
47,115503,Olivia Kindstedt,945,2,156.75
48,202571,Elizabete Pēkšena,914,2,153.0
49,162896,Therese Cuevas,938,3,143.0
50,195549,Kylie Kohut,935,3,135.0
51,65489,Lauren Butler,919,8,132.25
52,84279,Kaidi Allsalu,951,2,128.62
53,124064,Shelby Cowen,914,5,127.0
54,101949,Ratana McMahon,894,7,125.25
55,94085,Keiti Tätte,954,2,119.62
56,176243,Jordan Lynds,945,3,113.25
57,164788,Alecia Hinkson,932,2,112.5
58,142354,Alexis Kerman,922,6,111.5
59,75029,Cynthia Ricciotti,917,4,107.25
60,34563,Sarah Hokom,949,4,101.0
61,308525,Saga Dahlstedt,906,2,99.0
62,79233,Cadence Burge,971,2,95.25
63,231650,Tailey Rowley,913,4,92.25
64,161918,Addison Woodard,945,2,89.75
65,176242,Morgan Lynds,931,3,87.75
66,60798,Madison Tomaino,919,3,83.5
67,184609,Elva-Kate Preston,909,4,83.25
68,238187,Ann Deputy,925,3,80.25
69,196237,Kaire Tekku,928,2,78.75
70,39504,Zoe AnDyke,928,2,77.0
71,140660,María Eldey Kristínardóttir,917,2,75.0
72,147050,Ali Smith,946,1,66.0
73,245306,Netta Leppäaho,939,1,66.0
74,133701,Nathalie Ortiz,901,3,64.25
75,215439,Sheliemae Lai,948,2,62.0
76,158461,Shiru Liu,914,2,61.5
77,144791,Emily Yale,893,5,59.0
78,130342,Chantel Budinsky,955,1,58.5
79,185057,Josefine Johansson,927,1,54.0
80,139109,Leah Tsinajinnie,925,4,53.0
81,195550,Peyton Kohut,913,2,52.5
82,156259,Ella Tejler,898,2,52.5
83,173601,Marie Kielas,918,1,51.0
84,261058,Jessica Erickson,885,2,49.0
85,61990,Katka Boďová,922,1,48.0
86,116694,Kristi Unt,934,1,45.0
87,99441,Lykke Lorentzen,923,2,43.0
88,128532,Maarja Soasepp,892,1,42.0
89,140947,Nina Bennett,939,1,40.5
90,154098,Ariel Walker,938,1,38.25
91,209432,Eden Fletcher,899,2,38.0
92,74708,Casey Pennington,922,1,37.5
93,72635,Kersti Miller,889,1,34.5
94,149803,Candyce Boyce,890,1,33.0
95,179873,Jenny Larsson,916,1,33.0
96,80935,Lindsey Maas,902,2,32.25
97,35321,Sofie Björlycke,932,1,30.75
98,170182,Rebecca Minnick,866,3,29.0
99,198721,Hannah Kellar,887,4,29.0
100,281626,Una Lokmane,871,1,28.5
101,278450,Brit Hamburg-Kiin,848,1,28.5
102,29947,Stephanie Vincent,925,1,28.0
103,108871,Brook Johnson,905,1,24.0
104,107297,Maria Liivamägi,873,3,24.0
105,240590,Amelia Saechao,875,1,24.0
106,82809,Alex von Stade,892,1,22.0
107,242116,Eva Lutsenko,920,1,21.75
108,106489,Anna Pinter,875,1,21.75
109,104814,Ellie Bryant,900,1,21.75
110,78232,Tiger Borth,899,1,21.0
111,219693,Anna Damberga,858,1,21.0
112,139387,Hanna Jansson,892,1,20.25
113,182450,Kajsa Wahl,892,1,20.25
114,176481,Karissa Dedmon,923,1,20.0
115,268900,Natalie Berg,883,1,19.5
116,254333,Jess Zilch,872,1,19.5
117,288014,Jordan Coomes,847,1,18.0
118,197689,Isabella Parker,877,1,18.0
119,151072,Jennifer Rice,895,2,18.0
120,279466,Gry Nagel,810,1,18.0
121,85189,Samantha Bonacci,865,1,16.5
122,222973,Martje Sumowski,929,1,16.5
123,147393,Sadie Shattuck,865,2,16.0
124,157471,Nid Ovathanasin,935,1,15.0
125,103743,Karen Martel,924,1,15.0
126,96090,Sonja Laine,899,1,15.0
127,185627,Athena Cuevas,866,2,14.0
128,242331,Ida Kennmark,852,1,13.5
129,245317,Sophi Stephenson,859,1,12.0
130,121554,Elina Rydberg,903,1,11.25
131,259972,Marion Mattsson,854,1,11.25
132,218760,Sarah Duran,865,1,11.0
133,228486,Stefani Ewell,857,1,10.0
134,83376,Cassandra Lioi,889,1,8.0
135,261216,Victoria Christensen,868,1,7.5
136,186277,Kassandra Fog Wichmann,879,1,6.0
137,284553,Katherine Aydelott,861,1,4.0
138,132291,Ashley Phelps,907,2,2.0
139,158385,Destyne Martinez,865,1,2.0
140,105126,Aria Castruita,949,1,0.0
141,235368,Madalyn Payton,897,1,0.0
142,61144,Emily Beach,895,1,0.0
143,109337,Cathy Kuhn,863,1,0.0
144,178707,Joleigh Miller,923,1,0.0
145,102024,Danielle Keen,906,1,0.0
146,43995,Taylor Foth,899,1,0.0
147,66063,Ashlee Johnson,864,1,0.0
148,31041,Sheila Teves,883,1,0.0
149,179200,Jamie Williams,863,1,0.0
150,269838,Daisy Kelly,876,1,0.0
151,225016,Naomi Suyat,869,1,0.0
152,188837,JJ Sun,883,1,0.0
153,48199,Alison Blakeman,866,1,0.0
