rank,pdga_number,name,rating,starts,points
1,75412,Gannon Buhr,1062,17,2078.12
2,38008,Richard Wysocki,1053,14,1549.11
3,45971,Calvin Heimburg,1052,16,1518.92
4,50670,Isaac Robinson,1048,15,1346.37
5,57365,Adam Hammes,1039,16,1267.33
6,44382,Anthony Barela,1038,16,1172.39
7,78817,Sullivan Tipton,1041,14,1085.02
8,91249,Niklas Anttila,1042,12,1048.22
9,102119,Luke Taylor,1041,16,1020.48
10,80331,Gavin Babcock,1038,15,943.28
11,37817,Eagle McMahon,1045,11,909.51
12,79047,Silas Schultz,1033,15,856.64
13,50671,Ezra Robinson,1034,15,842.51
14,35449,Aaron Gossage,1035,17,813.92
15,81739,Casey White,1036,11,805.5
16,88212,Raven Newsom,1030,15,773.28
17,79748,Cole Redalen,1038,14,772.29
18,153363,Jaden Rye,1029,16,764.33
19,101197,Zachary Nash,1035,12,764.08
20,122356,Joseph Anderson,1032,15,696.94
21,31644,Bradley Williams,1031,14,688.96
22,58923,Jesse Nieminen,1031,11,656.17
23,62467,Chris Dickerson,1043,9,643.83
24,132521,Paul Krans,1036,13,642.53
25,54049,Austin Turner,1030,13,619.07
26,98722,Jake Monn,1028,16,600.56
27,75590,Andrew Marwede,1037,13,595.33
28,85132,Kyle Klein,1036,10,581.73
29,129963,Braeden Sides,1026,16,576.32
30,101574,Evan Smith,1043,5,555.67
31,27171,Paul Ulibarri,1030,11,554.56
32,44512,Corey Ellis,1031,10,529.0
33,91925,Jakub Semerád,1028,13,526.5
34,39491,Parker Welck,1030,13,525.04
35,107197,Mauri Villmann,1042,10,513.67
36,59635,Väinö Mäkelä,1030,12,498.62
37,8332,Simon Lizotte,1032,10,493.17
38,89394,Evan Scott,1028,15,476.89
39,76669,Albert Tamm,1020,13,468.59
40,91397,Clay Edwards,1023,16,447.57
41,18330,Matthew Orum,1029,12,428.37
42,96512,Robert Burridge,1022,16,420.49
43,131546,Harry Chace,1024,15,411.25
44,82297,Lauri Lehtinen,1035,7,407.18
45,69509,Joel Freeman,1037,8,404.16
46,43762,Jake Hebenheimer,1025,10,403.26
47,121715,Ezra Aderhold,1022,15,391.23
48,89959,Ty Love,1024,13,385.0
49,118426,Andrew Miranda,1021,13,382.29
50,144929,Ryan Monn,1021,15,377.58
51,60259,Harper Thompson,1025,13,363.61
52,131056,Eetu Tuominen,1038,4,361.5
53,94844,Elijah Bickel,1023,13,351.84
54,65266,Zach Arlinghaus,1021,11,347.43
55,17295,James Conrad,1018,14,346.57
56,139228,Chandler Kramer,1025,12,343.9
57,119504,Gavin Phillips,1018,11,334.88
58,72844,Mason Ford,1035,8,334.83
59,107567,Teemu Lampainen,1028,4,313.83
60,69424,Luke Humphries,1011,13,312.05
61,145206,Calvin Lonnquist,1014,15,298.9
62,131002,Onni Ruusunen,1032,4,297.16
63,76456,Daniel Davidsson,1036,4,285.67
64,136325,Rasmus Saukkoriipi,1018,9,280.89
65,138089,Dallas Garber,1021,13,270.94
66,58926,Joona Heinänen,1028,6,262.5
67,98091,Alden Harris,1019,11,251.0
68,118179,Levi Stout,1020,12,249.91
69,130724,Austen Bates,1027,9,238.28
70,13864,Garrett Gurthie,1022,10,234.71
71,110462,Nestori Tuhkanen,1029,4,233.5
72,56555,Noah Meintsma,1022,6,229.77
73,63765,Andrew Presnell,1029,7,220.17
74,27523,Paul McBeth,1048,2,202.67
75,99648,Connor O'Reilly,1014,13,202.56
76,75444,Maico Rimmel,1021,4,193.2
77,135125,Fritiof Fagergren,1018,4,187.34
78,68286,Nathan Queen,1020,8,183.5
79,50401,Chris Clemons,1017,9,183.47
80,119794,Jonathan Borzick,1031,6,180.55
81,201845,Miio Hämäläinen,1025,4,175.8
82,130709,Colin Bryant,1033,5,173.38
83,59419,Luke Samson,1014,13,166.11
84,87143,Bo McLaughlin,1018,10,164.39
85,165010,Justus Sarvi,1024,4,161.34
86,100818,Joey Temali,1001,14,148.34
87,68237,Jakub Knápek,1022,4,145.5
88,157441,Oiva Päivänsalo,1012,8,144.58
89,199203,Nikola Arkko,1019,4,135.38
90,108695,Roland Kõur,1020,4,129.5
91,106059,Elias Luukkonen,1012,6,128.51
92,119628,Arvid Håkansson,1021,4,128.36
93,159317,Otto Mäkinen,1021,4,126.2
94,48950,Matt Bell,1013,8,126.04
95,149546,Jesse Longenecker,1027,3,122.34
96,143853,Elijah Rider Brandt,1010,10,119.73
97,82098,Linus Carlsson,1019,4,115.21
98,158640,Rainers Balodis,1029,4,114.71
99,100497,Fredy Meza,1023,5,112.31
100,180865,Björn Marrandi,1015,4,109.66
101,138103,Matthew Alexander,1006,9,109.54
102,129061,Hjalte Jensen,1028,3,103.5
103,56511,Jacob Courtis,997,9,102.99
104,35876,Colten Montgomery,1001,10,102.5
105,64917,Luukas Rokkanen,1012,4,100.9
106,155087,Teemu Talikainen,1009,4,100.0
107,116137,Hjalmar Fredriksson,1018,4,99.0
108,98130,Dennis Augustsson,1019,4,97.16
109,128050,Eli Swansen,993,11,95.1
110,90439,Lucas Oberholtzer Hess,1020,3,93.0
111,79004,Elias Gripler,1015,4,92.3
112,52785,Jacob Blair,1004,10,92.26
113,33705,Jeremy Koling,1016,3,88.04
114,41760,Kevin Jones,1009,8,87.38
115,190731,Evan Walker,1028,2,86.8
116,91543,Miles Sayer,1013,5,82.77
117,89460,Wyatt Mahoney,1021,6,80.34
118,151146,Lucas Carmichael,1006,10,80.0
119,48346,Drew Gibson,1024,3,73.33
120,187956,Gavin Bos,1014,5,70.27
121,111626,Morten Kristiansen,993,4,69.96
122,132195,Daniel Perry,1020,2,69.67
123,35070,Knut Valen Håland,997,3,63.5
124,18824,Nathan Sexton,1023,3,63.17
125,48125,Ian Krajna,1015,2,61.83
126,170839,J.J. Campbell,1013,7,56.93
127,67172,Trevon Crowe,997,11,56.66
128,68986,Emmanuel Torres,1023,2,54.89
129,41884,Øyvind Jarnes,1015,4,54.63
130,24341,Cale Leiviska,1035,2,53.83
131,127048,Nick Robertson,1010,2,53.0
132,127492,Aviel Gomez,1026,2,52.0
133,118552,Ville Kivisilla,1017,1,52.0
134,154511,Kyle Krieckhaus,1016,5,50.44
135,242013,Noah Feil,1010,5,50.34
136,94872,Joni Peltonen,1017,2,49.25
137,68815,Jamie Kiep,1019,4,49.21
138,111887,Ryan Mulder,1013,4,48.5
139,82562,Aapo Karhi,1010,2,48.0
140,203340,Nooa Hämäläinen,1015,1,48.0
141,28560,Cam Rico,1011,5,47.22
142,91175,Max Ringbom,1005,4,47.1
143,35187,Dustin Keegan,1020,1,46.67
144,49885,G.T. Hancock,1022,4,46.33
145,56579,Anthony Anselmo,1041,2,44.67
146,98558,Daniel Pfaff,1010,3,44.67
147,99246,Aidan Scott,1026,3,44.17
148,57544,Zane Letts,1018,2,44.0
149,135258,Hugo Fröjdlund,1007,2,43.33
150,87964,Samuel Hänninen,1012,4,43.22
151,204855,Alexander Karanzas,992,3,42.91
152,174255,Henrik Haaland,1018,2,42.5
153,47472,Emerson Keith,1026,3,42.33
154,113179,Micah Groth,1023,2,41.5
155,79859,Morten Brenna,1008,2,39.0
156,87673,Brandon Brown,1013,3,38.43
157,61722,Zack Wysocki,1005,4,37.22
158,80974,Severi Saviniemi,1007,4,36.91
159,11534,Nikko Locastro,1013,3,36.66
160,33838,Nicholas Gill,1014,2,36.0
161,118097,Jan-Mikael Lampela,999,1,35.5
162,76846,Logan Plake,1007,5,35.0
163,137836,TJ Reel,1011,4,34.34
164,174343,Ben Holding,982,8,33.37
165,182130,Alexander Standal Borgersrud,999,3,33.33
166,165807,Jason Lawson,1010,2,33.0
167,152206,Jedd Berger,1011,2,32.67
168,103114,Mathias Villota,1021,2,32.67
169,117593,Eetu Salomäki,1009,3,32.1
170,125969,Matt Thompson,1010,1,32.0
171,228153,Arttu Rossi,1002,2,32.0
172,124607,Gillis MacDougall,1007,4,31.67
173,239942,Payton Mergen,1001,3,31.67
174,174519,Colby Schefers,983,4,30.92
175,53565,Eric Oakley,1004,3,29.53
176,74221,Logan Riding,1004,1,28.67
177,49865,Maximus Meyer,993,2,28.66
178,38631,Zach Melton,996,5,28.33
179,107079,Pekka Hyvönen,1004,1,28.0
180,91946,Kalle Ojala,980,1,28.0
181,165881,Parker Austin,1005,6,27.94
182,39015,Benjamin Callaway,1018,2,27.71
183,122655,Dylan Capaccioli,1026,4,27.0
184,38464,Scott Withers,1029,2,26.33
185,110596,Ville Parpala,1015,3,26.33
186,131330,Sylus Williams,1013,1,26.0
187,15857,Gregg Barsby,1014,4,25.83
188,132972,James Collier,997,3,25.82
189,130941,Blake Houston,1012,4,24.66
190,102591,Isaiah Oliver,1007,2,24.23
191,100708,Blake Poland,1020,2,23.9
192,72576,Peter Lunde,1012,2,23.51
193,198236,Alan Vazquez,1004,2,23.5
194,68103,Jared Stoll,990,5,22.93
195,65766,Tim Denna,1002,1,22.67
196,99092,Frank Smith,1012,1,22.67
197,165190,Sawyer Barlow,1008,4,22.17
198,178485,Kalle Kela,1004,2,22.17
199,115742,Sam DiCarlo,1011,1,22.0
200,193478,Cola Di Tullio,1002,2,22.0
201,45739,Dawson Snelling,1013,2,21.84
202,47136,Tony Moe Reiss,1014,1,21.33
203,92426,Jarod O'Brien,999,4,21.33
204,108560,Jayden Torres,1012,4,20.93
205,8399,Maxime Tanghe,1005,3,20.67
206,180216,Ryan Jewell,1003,4,20.67
207,137010,Rasmus Lampela,1022,1,20.0
208,177347,Taaniel Mehine,1011,1,20.0
209,99153,Noah Fiveash,983,4,19.0
210,196731,Ryan Bain,1004,2,18.89
211,34344,Paul Oman,1021,1,18.5
212,44800,Nate Corder,989,4,18.33
213,176270,Miro Ryhänen,1002,1,18.0
214,224293,Max Forsman,1004,1,18.0
215,165751,Julius Mølgaard,1003,2,17.83
216,124016,Hayden Carroll,1006,2,17.67
217,123433,Isak Andersson,998,3,16.5
218,43834,John Jones,998,4,16.07
219,119596,Eemil Lampela,1002,1,15.8
220,203331,Rasmus Koski,996,1,15.8
221,115165,Kirby Snyder,1008,3,15.33
222,102051,Gustav Dahlén,1009,2,15.1
223,205985,Hayden Frederiksen,1006,3,15.0
224,163877,Chris Reliford,992,2,15.0
225,235882,Halvard Solberg,987,3,15.0
226,211404,Ville Von Hertzen,1010,2,14.75
227,267928,Charles Peake,986,3,14.67
228,65488,Alex Berg,988,5,14.33
229,258444,Houston Finch,1004,2,14.22
230,60436,Gavin Rathbun,1022,1,14.0
231,98161,Justin Rosak,996,2,14.0
232,134643,Gavin King,1004,1,13.87
233,81781,Matt Hammersten,1019,1,13.5
234,80054,Simon Crosby,1007,1,13.33
235,167159,Tristan Cook,995,2,13.33
236,103148,Thomas Canfield,995,1,13.2
237,162717,Axel Wernborg,998,2,13.2
238,138760,Lassi Kähäri,986,1,12.71
239,124993,Leevi Lähdesmäki,995,1,12.71
240,116266,Mika Laikko,1002,1,12.71
241,258499,Luca Nieminen,1006,1,12.71
242,101609,Ture Valtonen,990,2,12.53
243,73855,Joseph Carey,987,4,12.33
244,135358,Ryan Hahn,994,3,12.33
245,123741,Bennett Doemland,996,4,12.33
246,212280,Ethan Bishop,1007,2,12.07
247,46192,Xaelen Nash,1025,1,12.0
248,197577,Owen Hamilton,987,1,12.0
249,25000,Ezra Hapner,995,2,12.0
250,158169,Edvard Espeset Hjemdal,984,1,12.0
251,108302,Mikael Hautala,1006,1,12.0
252,203005,Jimi Tapanila,978,2,12.0
253,120743,Axel Olson,1011,1,12.0
254,80554,Blær Örn Ásgeirsson,1000,2,11.83
255,128704,Samuel Snider,1005,1,11.67
256,101944,Caleb Bruce,1006,4,11.66
257,240431,Brandon Green,1002,1,11.5
258,53558,Abrahan Bahena,1014,1,11.5
259,146679,Colton Lawless,1001,3,11.33
260,103705,Dillon Spellman,980,3,11.0
261,53538,Ville Ahokas,1004,2,11.0
262,124269,Evald Sandermoen Øwre,995,3,11.0
263,113749,Herman Bentzen Hinkel,985,2,11.0
264,145729,Aidan Hosler,1000,2,11.0
265,157945,Nate Toutolmin,994,1,10.67
266,165843,Justin Mateo,986,1,10.67
267,103693,Tomáš Mozola,993,2,10.67
268,120749,Ricko Kokko,1008,1,10.33
269,181675,Bryson Little,998,1,10.22
270,56016,Thunder Schultz,1007,1,10.0
271,138655,Brenden Koontz,984,3,10.0
272,87790,Stanislaus Amann,1004,1,10.0
273,138685,Kaspar Kukk,985,1,10.0
274,77589,Florian Lingenhel,1004,2,10.0
275,119626,Holger Håkansson,980,3,10.0
276,46920,John Ryan III,986,3,9.66
277,253857,Bradley Baumgardner,995,1,9.5
278,245642,Oskari Krintilä,998,1,9.5
279,228600,Teo Huer,969,1,9.5
280,216148,Niilo Hyry,1003,1,9.5
281,59769,Henric Hagman,1006,2,9.4
282,213243,Reese Petersen,1006,2,9.33
283,90461,Nolan Ramser,1007,3,9.0
284,130300,Egert Hütt,989,1,9.0
285,52488,Niko Rättyä,973,3,9.0
286,188651,Henry Schlabach,1007,1,9.0
287,99462,Jon Lynn,991,1,8.67
288,165222,Tuomas Pääkkönen,989,1,8.67
289,256251,Riku Gröhn,994,1,8.67
290,57425,Sias Elmore,1009,1,8.44
291,24712,Justin Bougher,996,1,8.44
292,229763,Martin Cronacher,992,3,8.25
293,61977,Chad Sherbert,1008,1,8.0
294,179847,Nick Doan,1013,1,8.0
295,77821,Ian Fredrickson,1008,2,8.0
296,146420,Guy Melms,979,3,8.0
297,22055,Samuel Aldrich,992,1,8.0
298,129933,Markus Saarepuu,991,1,8.0
299,95645,Espen Normann Paulsen,970,1,8.0
300,210763,Anthony Bodanza,1002,1,7.67
301,278808,Eelis Immonen,971,1,7.5
302,104299,Rasmus Tuominen,1000,1,7.5
303,111228,Aapo Halmeenmäki,997,1,7.5
304,56037,Joshua Patin,1005,1,7.33
305,89184,Rienk Kan,993,2,7.2
306,51685,Randon Latta,1001,1,7.0
307,153445,Corbin Milchesky,985,3,7.0
308,218832,Renārs Strazdiņš,982,1,7.0
309,178318,Matias Mäntysaari,993,1,7.0
310,44782,Jake Lauber,992,1,7.0
311,241573,Whit Stephenson,998,1,6.67
312,75178,Jimmy Martinez,998,1,6.67
313,195983,David Hurley,996,1,6.67
314,87267,Michael Arauza,989,1,6.67
315,140561,Nolan Johnson,986,2,6.67
316,27984,Christian Dietrich,1000,1,6.67
317,153211,Landen Carver,988,1,6.33
318,107518,Charles Peters,996,1,6.33
319,190064,Emil Karlsson,996,2,6.33
320,128278,Calvin Delamere,996,2,6.33
321,150052,Garrett D. Knox,978,1,6.0
322,144592,Abraham Johnson,983,1,6.0
323,214285,Thomas Helgesen,976,1,6.0
324,157065,Mikk Mõts,992,1,6.0
325,112414,Tõnis Soppe,963,1,6.0
326,90740,Mats-Eerik Tõhk,991,1,6.0
327,183472,Gaute Hauge,946,1,6.0
328,57366,Emile Barbe,991,2,6.0
329,123220,Herman Hatlo,965,2,6.0
330,218376,Jami Kuhanen,966,1,6.0
331,43210,Logan Weiss,986,1,5.5
332,284527,Vilho Lamponen,977,1,5.5
333,138355,Nathaniel Johnson,994,1,5.4
334,44919,Isaac Heinen,995,1,5.4
335,56886,Marshall Blanks,984,2,5.33
336,86443,Noah Baker,1010,1,5.33
337,53839,Martin Evans,977,1,5.33
338,80904,Thomas Tomaselli,1002,1,5.33
339,261932,Andrew Bakken,967,1,5.33
340,96832,Aidan Guthrie,990,2,5.33
341,142224,Ryan Chesla,993,1,5.33
342,185738,Kieran Atkinson,1001,1,5.33
343,196220,Graham Fuller,992,1,5.33
344,104894,Adrian Chevalier,1007,1,5.33
345,107074,Collin Thompson,996,1,5.33
346,50685,Sam Doebert,1002,1,5.33
347,139058,James Corder,1004,1,5.33
348,94883,Rico Garcia,1000,1,5.33
349,180719,Connor King,976,1,5.0
350,74465,Gideon Drake,996,1,5.0
351,81376,Melker Molin,971,2,5.0
352,137292,Anders Lind,1008,1,5.0
353,92164,Joni Luumi,987,1,4.67
354,178069,Micah Rousse,982,1,4.5
355,165236,Tobias Hjorteland Schjølberg,992,1,4.5
356,176145,Arvid Hansson,974,1,4.2
357,155128,Wynn Coggin,973,1,4.0
358,93274,James Bennett,978,1,4.0
359,187773,Woods McCue,978,1,4.0
360,198295,Isaac Chance,976,1,4.0
361,145623,Jay Minton,988,1,4.0
362,166089,Mickey Welsh,987,1,4.0
363,162020,Damien Biegert,999,1,4.0
364,74823,Trevor Dominy,993,1,4.0
365,66855,Michael Williamson,1006,1,4.0
366,165120,Dustin Klein,972,1,4.0
367,77387,Eric Downing,985,1,4.0
368,135467,Peyton Mansell,987,2,4.0
369,64554,Adrian Zapata,979,1,4.0
370,47662,Landon Knight,986,1,4.0
371,137625,Henry Bente,1006,1,4.0
372,137957,Mick Walter,956,1,4.0
373,99832,Bill Kirk,931,1,4.0
374,183213,Michael Bueno,969,1,4.0
375,45319,Justin J-Roc Liddell,976,1,4.0
376,28198,Cody Kirkland,1011,1,4.0
377,187952,Perry Walker,977,1,4.0
378,218949,Matthew Lopez,957,2,4.0
379,255044,Yashua Xiong,982,1,4.0
380,116860,Jeffrey McCormick,968,1,4.0
381,102252,Caleb Joiner,996,2,4.0
382,89542,Taylor Coulam,982,2,4.0
383,35798,Shane Anderson,993,1,4.0
384,29812,Corey Dryden,989,1,4.0
385,111104,Sean Martin,975,1,4.0
386,102180,Henry Thoma,979,1,4.0
387,193996,Dylan Dietrich,936,1,4.0
388,194937,Rico Suigusaar,952,1,4.0
389,278842,Elias Nordberg,968,1,4.0
390,72938,Simo Luoma,978,1,4.0
391,130579,Taavi Suutari,996,1,4.0
392,76789,Jukka Tyni,969,1,4.0
393,80454,Jere Kukkurainen,990,1,4.0
394,49643,Garry Patton,1003,1,4.0
395,51894,Alex Anderson,992,1,4.0
396,86682,Max Anderson,1000,1,4.0
397,232235,Joshua Laronge,991,1,4.0
398,154255,Gracen Lomelino,1005,1,4.0
399,239943,Toby Mergen,974,1,4.0
400,58320,Andrew Fish,1002,1,4.0
401,164884,Keith Friestad,976,1,4.0
402,95050,Josef Berg,982,1,3.25
403,135272,Olle Fröjdlund,978,1,3.25
404,223025,Jasper Wirth,994,2,3.25
405,235673,J Milly,977,1,3.25
406,175222,Matthew Brown,983,2,3.0
407,6520,John Fowler,963,1,3.0
408,120343,Owen McCall,989,1,3.0
409,146950,Hunter Embler,980,1,3.0
410,90585,Jasper Tyll,978,1,3.0
411,121746,Ryan Clark,955,1,3.0
412,31818,Calvin Pettigrew,984,1,3.0
413,117119,Christian Byars,997,1,3.0
414,148807,Stephen McLaren,970,1,3.0
415,162085,Paul Davidson,972,1,3.0
416,80347,Brendan Orwig,975,1,3.0
417,201809,Colby Jones,974,1,3.0
418,83848,Landon Brooks,1008,1,3.0
419,68481,Scott Adams,1001,1,3.0
420,255864,Landis Nelson,977,2,3.0
421,165105,Alex Banning,973,1,3.0
422,126320,Toke Kyed,988,1,3.0
423,54111,Tobias Söderqvist,989,1,3.0
424,103830,Albin Widman,972,1,3.0
425,266496,Anton Bergqvist,985,1,3.0
426,184512,Silas Evald Wiwe,998,1,3.0
427,263901,Jakob Grøv,976,1,3.0
428,155709,Eeka Kölhi,996,1,3.0
429,135018,Matias Kanniainen,985,1,3.0
430,180447,Elmeri Laaksonen,983,1,3.0
431,218377,Urho Nuutinen,992,1,3.0
432,216551,Arttu Aaltonen,997,1,3.0
433,245305,Arttu Kurlin,967,1,3.0
434,179793,Henrik Punkari,969,1,3.0
435,238482,Daniel Kokunja,961,1,3.0
436,134053,David Konoplev,989,1,3.0
437,137733,Donovan Stein,1007,1,3.0
438,52564,Jesse Henderson,954,1,3.0
439,275526,Kaden Goodyear,974,1,3.0
440,171880,James Stephenson,992,1,3.0
441,319725,Sean Sullivan,943,1,2.67
442,17946,Joshua Anthon,1018,1,2.67
443,150967,Brady Harbinson,974,1,2.67
444,137902,Joshua Miller,995,1,2.67
445,127458,Patrick Yu,992,1,2.67
446,146804,Kevin Fodrey,1002,1,2.67
447,187860,Carson Fowler,986,1,2.67
448,60332,Nick Robinson,998,1,2.67
449,77274,tom shanley,988,1,2.0
450,74569,Håkon Kveseth,977,1,2.0
451,143099,Robert Johnson,968,1,2.0
452,175824,Gage Johnson,970,1,2.0
453,138791,Jamison Monroe,971,1,2.0
454,176644,Benjamin Appel,981,1,1.33
455,72131,Will Goeringer,985,1,1.33
456,179094,Chandler Whisenand,983,1,1.33
457,122140,Stephen Becker,994,1,1.33
458,177134,Tyler Peterson,1002,1,1.33
459,157832,Nick Reliford,992,1,1.33
460,156874,Matthew Henderson,995,1,1.33
461,221781,Isaiah Morgan,986,1,1.33
462,178811,Brennan Voss,964,1,1.33
463,107056,Mark Jones,969,1,1.33
464,245013,Kayleb Gillmore,951,1,1.33
465,212370,Chase Farler,981,1,1.33
466,259323,Ian Rankin,975,1,1.33
467,127250,Dayne Zimmerman,972,1,1.33
468,88370,Dallas Wrinkle,970,1,1.33
469,238254,Isaac Ghareeb,980,1,1.33
470,158812,Tomas Jeronimo,970,1,1.33
471,186647,Brock Tennyson,983,1,1.33
472,34453,Christopher Meyer,980,1,1.33
473,184699,Andrew Cogley,976,1,1.33
474,84923,Ryan Begley,976,1,1.33
475,269600,Hunter Stevens,1001,1,0.0
476,78268,Charlie Moore,1005,1,0.0
477,195174,Blake Wade,988,1,0.0
478,46234,Brian Dudney,994,1,0.0
479,146928,Blake Seddens,991,1,0.0
480,220532,Jackson McDonald,977,1,0.0
481,114877,Seth Talbott,1016,1,0.0
482,272448,Marcus Rodriguez,970,1,0.0
483,44458,Billy Engel,990,1,0.0
484,218762,Canaan Ramey,977,2,0.0
485,148126,Hatcher Mason,1000,1,0.0
486,60331,Gavin Ossenkop,995,1,0.0
487,71872,Tyler Schrock,1000,2,0.0
488,219899,Judah Ramey,979,2,0.0
489,194882,Eli Ramey,968,2,0.0
490,262097,Kevin Harris,987,1,0.0
491,200757,Guthrie Timpanaro,987,1,0.0
492,158610,Simeon Davenport,995,1,0.0
493,226898,Asher Mueller,972,1,0.0
494,54879,Justin Merryman,961,1,0.0
495,69287,Jeffrey Korns,957,1,0.0
496,131072,Joshua Ianno,979,1,0.0
497,93197,Chris Runyan,987,1,0.0
498,168538,Kade Capps,1000,1,0.0
499,80907,Ryan Vincent,995,1,0.0
500,242531,Jace Rittenhouse,976,1,0.0
501,214348,Dylan Bryant,986,2,0.0
502,158613,Josiah Davenport,984,2,0.0
503,50760,Luis Gonzalez,964,1,0.0
504,264796,Luke Long,976,1,0.0
505,219458,Brooks Haney,964,1,0.0
506,41150,Nick Fornek,977,1,0.0
507,218351,Tony Wienhold,956,1,0.0
508,158615,Gideon Davenport,969,2,0.0
509,235369,Darrien Payton,942,1,0.0
510,35695,Cory Eary,932,1,0.0
511,24443,Micah Mariano,962,1,0.0
512,194635,Deacon Guest,968,1,0.0
513,147394,Tristian Kellar,951,2,0.0
514,59613,Alan Marshall,954,1,0.0
515,211189,Ben Anderson,960,1,0.0
516,133499,Trevor Williamson,961,1,0.0
