name,qualification_method
Elijah Rider Brandt,DGPT Q-Series Finale - Top 3
Ryan Monn,DGPT Q-Series Finale - Top 3
Evan Walker,DGPT Q-Series Finale - Top 3
Paul Krans,DGPT Playoff Event - Top 5
Parker Welck,DGPT Playoff Event - Top 5
Jake Hebenheimer,DGPT+ Event - Top 5
Hayden Carroll,PDGA Amateur Major - World Champion
Pyry Joutsen,PDGA Major - Top 10
Jaden Rye,PDGA Major - Top 10
Luke Humphries,PDGA Major - Top 10
Miio Hämäläinen,DGPT Event - Top 3
Kevin Jones,DGPT Event - Top 3
Carter Ahrens,DGPT Event - Top 3
Peter Lunde,DGPT Event - Top 3
Daniel Davidsson,DGPT Event - Top 3
James Collier,PDGA Amateur Major - U.S. Champion
Mauri Villmann,DGPT Event - Top 3
Lauri Lehtinen,DGPT Event - Top 3
Nestori Tuhkanen,DGPT Event - Top 3
Sullivan Tipton,PDGA Major - Top 10
Benjamin Callaway,PDGA Major - Top 10
Ezra Aderhold,PDGA Major - Top 10
Austin Turner,DGPT Event - Top 3
Jesse Longenecker,PDGA Amateur Major - Collegiate Champion
Nikko Locastro,DGPT Event - Top 3
Gannon Buhr,DGPT Championship - 2nd Year
Richard Wysocki,DGPT Championship - 2nd Year
Ezra Robinson,DGPT Championship - 2nd Year
Isaac Robinson,DGPT Championship - 2nd Year
Calvin Heimburg,DGPT Championship - 2nd Year
Niklas Anttila,DGPT Championship - 2nd Year
Evan Smith,DGPT Championship - 2nd Year
James Proctor,DGPT Championship - 2nd Year
Casey White,DGPT Championship - 2nd Year
Kyle Klein,DGPT Championship - 2nd Year
Matthew Orum,DGPT Championship - 2nd Year
Paul McBeth,DGPT Championship - 2nd Year
Emerson Keith,DGPT Championship - 2nd Year
Adam Hammes,DGPT Championship - 2nd Year
Andrew Presnell,DGPT Championship - 2nd Year
Aaron Gossage,DGPT Championship - 2nd Year
Joseph Anderson,DGPT Championship - 2nd Year
Anthony Barela,DGPT Championship - 2nd Year
Chris Dickerson,DGPT Championship - 2nd Year
Corey Ellis,DGPT Championship - 2nd Year
Joel Freeman,DGPT Championship - 2nd Year
Eagle McMahon,DGPT Championship - 2nd Year
Jesse Nieminen,DGPT Championship - 2nd Year
Robert Burridge,DGPT Championship - 2nd Year
Luke Taylor,DGPT Championship - 2nd Year
Andrew Marwede,DGPT Championship - 2nd Year
Väinö Mäkelä,DGPT Championship - 2nd Year
Cole Redalen,DGPT Championship - 2nd Year
Mason Ford,DGPT Championship - 2nd Year
Gavin Rathbun,DGPT Championship - 2nd Year
Simon Lizotte,DGPT Championship - 2nd Year
Gavin Babcock,DGPT Championship - 2nd Year
Jakub Semerád,DGPT Championship - 2nd Year
Garrett Gurthie,DGPT World Standings - Top 90
Gregg Barsby,DGPT World Standings - Top 90
James Conrad,DGPT World Standings - Top 90
Paul Ulibarri,DGPT World Standings - Top 90
Bradley Williams,DGPT World Standings - Top 90
Colten Montgomery,DGPT World Standings - Top 90
Matt Bell,DGPT World Standings - Top 90
G.T. Hancock,DGPT Q-Series Standings - Top 3 (Displacement)
Chris Clemons,DGPT World Standings - Top 90
Eric Oakley,DGPT World Standings - Top 90
Noah Meintsma,DGPT World Standings - Top 90
Joona Heinänen,DGPT World Standings - Top 90
Luke Samson,DGPT World Standings - Top 90
Silver Lätt,DGPT World Standings - Top 90
AJ Carey,DGPT World Standings - Top 90
Zach Arlinghaus,DGPT World Standings - Top 90
Tuomas Hyytiäinen,DGPT Europe Standings - Top 6 (Displacement)
Nathan Queen,DGPT World Standings - Top 90
Connor Rock,DGPT World Standings - Top 90
Albert Tamm,DGPT World Standings - Top 90
Silas Schultz,DGPT World Standings - Top 90
Morten Brenna,DGPT Europe Standings - Top 6 (Displacement)
Severi Saviniemi,DGPT Europe Standings - Top 6 (Displacement)
Linus Carlsson,DGPT World Standings - Top 90
Raven Newsom,DGPT World Standings - Top 90
Evan Scott,DGPT World Standings - Top 90
Ty Love,DGPT World Standings - Top 90
Clay Edwards,DGPT World Standings - Top 90
Alden Harris,DGPT World Standings - Top 90
Dennis Augustsson,DGPT World Standings - Top 90
Jake Monn,DGPT World Standings - Top 90
Connor O'Reilly,DGPT World Standings - Top 90
Zachary Nash,DGPT World Standings - Top 90
Elias Luukkonen,DGPT Europe Standings - Top 6 (Displacement)
Pekka Hyvönen,DGPT Europe Standings - Top 6 (Displacement)
Teemu Lampainen,DGPT World Standings - Top 90
Roland Kõur,DGPT World Standings - Top 90
Andrew Miranda,DGPT World Standings - Top 90
Gavin Phillips,DGPT World Standings - Top 90
Jonathan Borzick,DGPT Q-Series Standings - Top 3 (Displacement)
Hjalte Jensen,DGPT World Standings - Top 90
Braeden Sides,DGPT World Standings - Top 90
Austen Bates,DGPT Q-Series Standings - Top 3 (Displacement)
Onni Ruusunen,DGPT World Standings - Top 90
Eetu Tuominen,DGPT World Standings - Top 90
Harry Chace,DGPT World Standings - Top 90
Rasmus Saukkoriipi,DGPT World Standings - Top 90
Chandler Kramer,DGPT World Standings - Top 90
Calvin Lonnquist,DGPT World Standings - Top 90
Lucas Carmichael,DGPT World Standings - Top 90
Justus Sarvi,DGPT Europe Standings - Top 6 (Displacement)
