Event,Event ID,Name,PDGANumber,Rating
Mid-America,48121,Alexis Kerman,142354,729
LVC,47877,Alexis Mandujano,62880,928
Jonesboro,48567,Alexis Mandujano,62880,928
Open at Belton,47888,Alexis Mandujano,62880,928
Vintage Open,48119,Alexis Mandujano,62880,928
Mid-America,48121,Alexis Mandujano,62880,928
Clash at the Canyons,48112,Alexis Mandujano,62880,928
Portland,48686,Alison Mabbutt,81569,874
LVC,47877,Alyssa Pierson,122118,825
Vintage Open,48119,Alyssa Pierson,122118,825
Mid-America,48121,Alyssa Pierson,122118,825
LVC,47877,Alyssa Weatherford,143049,879
OTBO,48172,Alyssa Weatherford,143049,879
Portland,48686,Alyssa Weatherford,143049,879
OTBO,48172,Amanda Zaccone,59547,884
LVC,47877,Amy Bilodeau,63005,850
Portland,48686,Amy Lewis,61950,913
Portland,48686,Ashlyn Tahlier,141044,881
Goat Hill,48283,Brandie Myers,47798,874
LVC,47877,Callie McMorran,64751,928
Jonesboro,48567,Callie McMorran,64751,928
OTBO,48172,Camille Skweir,57791,893
LVC,47877,Carli Beith,85978,899
LVC,47877,Carolina Halstead,113817,855
Clash at the Canyons,48112,Carrie Meyer,41058,840
Waco,48685,Casey Pennington,74708,921
Open at Belton,47888,Casey Pennington,74708,921
LVC,47877,Catrina Allen,44184,962
Waco,48685,Catrina Allen,44184,962
Jonesboro,48567,Catrina Allen,44184,962
Portland,48686,Catrina Allen,44184,962
Open at Belton,47888,Catrina Allen,44184,962
Vintage Open,48119,Catrina Allen,44184,962
Goat Hill,48283,Charlotte Towle,75929,875
Waco,48685,Chelsea Harden,63377,864
Waco,48685,Christina Linthicum,50045,932
Jonesboro,48567,Christina Linthicum,50045,932
Open at Belton,47888,Christina Linthicum,50045,932
Jonesboro,48567,Christine Jennings,88568,919
Clash at the Canyons,48112,Christine Jennings,88568,919
LVC,47877,Courtney Cannon,70634,915
Waco,48685,Courtney Cannon,70634,915
Jonesboro,48567,Courtney Cannon,70634,915
Portland,48686,Courtney Cannon,70634,915
Vintage Open,48119,Courtney Cannon,70634,915
Mid-America,48121,Courtney Cannon,70634,915
Clash at the Canyons,48112,Courtney Cannon,70634,915
LVC,47877,Cynthia Ricciotti,75029,910
Waco,48685,Cynthia Ricciotti,75029,910
Jonesboro,48567,Cynthia Ricciotti,75029,910
Portland,48686,Cynthia Ricciotti,75029,910
Mid-America,48121,Cynthia Ricciotti,75029,910
Portland,48686,Danielle Keen,102024,867
Goat Hill,48283,Danielle Keen,102024,867
LVC,47877,Deann Carey,66842,916
Waco,48685,Deann Carey,66842,916
Jonesboro,48567,Deann Carey,66842,916
OTBO,48172,Deann Carey,66842,916
DGLO,48338,Deann Carey,66842,916
Ledgestone,47981,Deann Carey,66842,916
Idlewild,48688,Deann Carey,66842,916
MVP Open,49214,Deann Carey,66842,916
Open at Belton,47888,Deann Carey,66842,916
Vintage Open,48119,Deann Carey,66842,916
Mid-America,48121,Deann Carey,66842,916
Goat Hill,48283,Dena Slattery,104363,860
LVC,47877,Ella Hansen,144112,899
OTBO,48172,Ella Hansen,144112,899
Portland,48686,Ella Hansen,144112,899
OTBO,48172,Ellen Widboom,58276,943
DGLO,48338,Ellen Widboom,58276,943
Ledgestone,47981,Ellen Widboom,58276,943
Idlewild,48688,Ellen Widboom,58276,943
