Event Name,Event ID,EventType,EventLength,Event Date
The Memorial,44118,Elite,3,2/27/2020
Waco,44144,Elite,3,3/12/2020
DDO,45796,Elite,3,6/26/2020
Preserve,45795,Elite,3,7/3/2020
DGLO,44224,Elite,3,7/24/2020
Silver Cup,43971,Silver,3,7/10/2020
Mid America Open,43740,Silver,3,7/31/2020
Idlewild,43983,Elite,3,8/7/2020
Ledgestone,43452,Elite,4,8/13/2020
GMC,44114,Elite,4,7/3/2020
MVP Open,44653,Elite,3,9/11/2020
Maine State Champ,43949,Silver,3,9/18/2020
Jonesboro,43778,Elite,3,10/01/2020
