name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top18_standings,p_top20,p_no1_seed
Holyn Handley,133547,986.0,1,1713.67,2083.2,2.8,1.0,1.0,0.065
Silva Saarinen,107335,991.0,2,1695.17,2241.1,1.5,1.0,1.0,0.5841
Ohn Scoggins,48976,990.0,3,1598.33,2198.3,1.8,1.0,1.0,0.3498
Missy Gannon,85942,985.0,4,1506.16,1890.9,4.1,1.0,1.0,0.001
Ella Hansen,144112,976.0,5,1421.58,1712.9,5.5,1.0,1.0,0.0
Eveliina Salonen,64927,988.0,6,1364.67,1726.0,5.4,1.0,1.0,0.0
Catrina Allen,44184,961.0,7,1125.75,1357.5,8.5,1.0,1.0,0.0
Kat Mertsch,99455,964.0,9,1015.42,1301.5,9.6,1.0,1.0,0.0
Valerie Mandujano,62879,975.0,12,897.16,1431.5,7.6,1.0,1.0,0.0
Henna Blomroos,59227,969.0,8,1036.67,1259.9,10.4,1.0,1.0,0.0
Rebecca Don,208576,961.0,10,937.99,1199.2,12.1,0.9976,1.0,0.0
Heidi Laine,66599,959.0,11,932.75,1164.7,13.0,0.9943,0.9999,0.0
Emily Weatherman,111487,958.0,14,843.83,1136.3,13.9,0.9641,0.9961,0.0
Paige Pierce,29190,968.0,17,747.17,1152.3,13.5,0.9584,0.9929,0.0
Hanna Huynh,112647,962.0,19,709.33,1133.8,14.1,0.9326,0.9854,0.0
Jessica Gurthie,50656,955.0,18,745.0,1079.1,15.8,0.8347,0.9612,0.0
Sintija Klezberga,229526,955.0,15,815.5,1064.4,16.3,0.8303,0.9709,0.0
Eliezra Midtlyng,198446,948.0,13,851.58,1018.1,17.9,0.585,0.8871,0.0
Taylor Chocek,189702,947.0,16,805.95,969.0,19.6,0.275,0.6415,0.0
Lisa Fajkus,32654,958.0,22,639.83,941.8,20.7,0.2023,0.4631,0.0
Anniken Kristiansen Steen,109996,964.0,20,700.29,913.9,21.7,0.1382,0.3259,0.0
Alexis Mandujano,62880,960.0,30,438.5,895.3,22.5,0.1338,0.2899,0.0
Kona Star Montgomery,27832,949.0,23,611.0,885.1,22.8,0.0709,0.1986,0.0
Madison Walker,59431,951.0,21,652.83,866.3,23.5,0.0408,0.1321,0.0
Rebecca Cox,32917,951.0,29,489.0,808.4,26.0,0.0189,0.0606,0.0
Anneli Tõugjas-Männiste,85484,957.0,28,498.5,788.3,26.9,0.0109,0.0387,0.0
Dani K. Hart,146137,951.0,27,502.5,775.3,27.4,0.0052,0.0215,0.0
Cadence Burge,79233,971.0,73,95.25,658.7,32.8,0.0023,0.0093,0.0
Ida Emilie Nesse,181772,948.0,34,400.0,718.3,30.2,0.0016,0.0076,0.0
Julia Fors,224238,962.0,32,428.5,688.7,31.5,0.0013,0.0056,0.0
Kristýna Jurčíková,210972,970.0,39,331.0,653.3,33.0,0.0008,0.0038,0.0
Addison Woodard,161918,950.0,40,317.08,661.6,32.7,0.0004,0.0024,0.0
Raven Klein,138272,941.0,25,518.5,709.7,30.6,0.0003,0.0023,0.0
Sofia Donnecke,185534,961.0,24,547.5,709.9,30.6,0.0002,0.002,0.0
Jennifer Allen,15354,967.0,42,313.0,600.0,35.4,0.0001,0.001,0.0
Chandler Reigh,277832,939.0,26,511.25,680.1,32.1,0.0001,0.0004,0.0
Macie Velediaz,104187,957.0,43,294.67,552.0,37.4,0.0,0.0002,0.0
Iida Lehtomäki,216558,963.0,31,430.25,575.4,36.3,0.0,0.0,0.0
Amanda Lennartsson,155026,947.0,33,409.0,465.7,41.1,0.0,0.0,0.0
Kelley Foster,152191,933.0,35,367.5,489.0,39.6,0.0,0.0,0.0
MJ Gager,146304,933.0,36,355.83,440.4,42.4,0.0,0.0,0.0
Jennifer Smiley,184736,934.0,37,337.75,477.9,40.3,0.0,0.0,0.0
Kylie Kohut,195549,933.0,38,331.0,407.0,44.5,0.0,0.0,0.0
Violet Main,104314,945.0,41,317.0,430.1,43.3,0.0,0.0,0.0
Erika Stinchcomb,71262,920.0,44,275.25,344.7,48.6,0.0,0.0,0.0
Matilda Ringbom,77385,947.0,45,274.0,330.8,50.1,0.0,0.0,0.0
Holly Finley,51277,929.0,46,265.0,328.2,50.0,0.0,0.0,0.0
Maria Oliva,63257,920.0,47,237.0,324.8,50.2,0.0,0.0,0.0
Trinity Bryant,168863,921.0,48,235.0,316.1,50.9,0.0,0.0,0.0
Therese Cuevas,162896,937.0,49,231.5,290.2,53.1,0.0,0.0,0.0
Elizabete Pēkšena,202571,932.0,50,205.5,247.1,56.4,0.0,0.0,0.0
Kaidi Allsalu,84279,956.0,51,203.62,297.6,52.5,0.0,0.0,0.0
Alexis Kerman,142354,921.0,52,197.0,275.3,54.3,0.0,0.0,0.0
Olivia Kindstedt,115503,946.0,53,189.0,291.0,53.1,0.0,0.0,0.0
Keiti Tätte,94085,957.0,54,184.12,225.8,58.1,0.0,0.0,0.0
Lauren Butler,65489,916.0,55,159.08,203.5,59.6,0.0,0.0,0.0
Jordan Lynds,176243,945.0,56,145.25,285.0,53.5,0.0,0.0,0.0
Chantel Budinsky,130342,957.0,57,136.5,381.1,46.9,0.0,0.0,0.0
Shelby Cowen,124064,914.0,58,135.0,167.4,63.1,0.0,0.0,0.0
Ratana McMahon,101949,885.0,59,129.75,129.8,68.9,0.0,0.0,0.0
Saga Dahlstedt,308525,917.0,60,127.5,127.5,70.4,0.0,0.0,0.0
Sarah Hokom,34563,949.0,61,127.0,405.4,45.1,0.0,0.0,0.0
Nina Bennett,140947,946.0,62,126.5,266.2,55.1,0.0,0.0,0.0
Cynthia Ricciotti,75029,917.0,63,118.58,160.6,64.0,0.0,0.0,0.0
Elva-Kate Preston,184609,908.0,64,118.25,129.4,69.9,0.0,0.0,0.0
Tailey Rowley,231650,911.0,65,117.25,130.6,69.7,0.0,0.0,0.0
Morgan Lynds,176242,931.0,66,115.75,171.2,63.2,0.0,0.0,0.0
