name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top28_standings,p_top32,p_no1_seed
Gannon Buhr,75412,1063.0,1,2078.12,2481.1,1.0,1.0,1.0,1.0
Richard Wysocki,38008,1051.0,2,1549.11,1870.8,2.5,1.0,1.0,0.0
Calvin Heimburg,45971,1052.0,3,1518.92,1858.2,2.6,1.0,1.0,0.0
Isaac Robinson,50670,1047.0,4,1346.37,1643.0,4.0,1.0,1.0,0.0
Adam Hammes,57365,1037.0,5,1267.33,1459.6,5.6,1.0,1.0,0.0
Anthony Barela,44382,1041.0,6,1172.39,1388.3,6.7,1.0,1.0,0.0
Sullivan Tipton,78817,1039.0,7,1085.02,1313.6,8.1,1.0,1.0,0.0
Niklas Anttila,91249,1044.0,8,1048.22,1321.1,7.9,1.0,1.0,0.0
Luke Taylor,102119,1037.0,9,1020.48,1239.6,9.6,1.0,1.0,0.0
Gavin Babcock,80331,1038.0,10,943.28,1201.8,10.6,1.0,1.0,0.0
Eagle McMahon,37817,1045.0,11,909.51,1219.5,10.2,1.0,1.0,0.0
Silas Schultz,79047,1032.0,12,856.64,1011.8,16.7,1.0,1.0,0.0
Ezra Robinson,50671,1038.0,13,842.51,1101.5,13.5,1.0,1.0,0.0
Casey White,81739,1035.0,15,805.5,1042.2,15.7,0.9997,1.0,0.0
Aaron Gossage,35449,1037.0,14,813.92,1008.5,17.0,0.9994,1.0,0.0
Cole Redalen,79748,1036.0,17,772.29,1019.0,16.7,0.9976,1.0,0.0
Zachary Nash,101197,1033.0,19,764.08,997.2,17.6,0.9965,1.0,0.0
Chris Dickerson,62467,1041.0,23,643.83,1034.6,16.3,0.9865,0.9988,0.0
Jaden Rye,153363,1030.0,18,764.33,941.9,20.3,0.9786,0.9998,0.0
Raven Newsom,88212,1030.0,16,773.28,910.1,22.0,0.9593,0.9995,0.0
Kyle Klein,85132,1038.0,28,581.73,908.9,22.4,0.8288,0.9476,0.0
Andrew Marwede,75590,1038.0,27,595.33,897.2,23.1,0.7959,0.9298,0.0
Joseph Anderson,122356,1031.0,20,696.94,868.4,24.6,0.7695,0.9618,0.0
Paul Krans,132521,1034.0,24,642.53,877.3,24.1,0.7626,0.934,0.0
Bradley Williams,31644,1032.0,21,688.96,863.0,24.9,0.7435,0.9493,0.0
Jesse Nieminen,58923,1031.0,22,656.17,847.8,25.8,0.6758,0.9189,0.0
Evan Smith,101574,1040.0,30,555.67,820.5,27.7,0.533,0.7465,0.0
Mauri Villmann,107197,1042.0,35,513.67,804.9,28.7,0.477,0.693,0.0
Austin Turner,54049,1030.0,25,619.07,806.4,28.5,0.4641,0.7471,0.0
Corey Ellis,44512,1033.0,32,529.0,800.7,29.0,0.4487,0.6927,0.0
Paul Ulibarri,27171,1030.0,31,554.56,758.2,31.8,0.2732,0.5122,0.0
Jake Monn,98722,1030.0,26,600.56,756.3,31.8,0.2368,0.508,0.0
Parker Welck,39491,1031.0,34,525.04,727.4,33.9,0.1912,0.3803,0.0
Väinö Mäkelä,59635,1033.0,36,498.62,712.8,34.9,0.159,0.3265,0.0
Simon Lizotte,8332,1031.0,37,493.17,708.7,35.2,0.1475,0.3123,0.0
Mason Ford,72844,1037.0,58,334.83,666.3,38.5,0.1112,0.2258,0.0
Braeden Sides,129963,1028.0,29,576.32,708.2,35.1,0.1003,0.265,0.0
Jakub Semerád,91925,1028.0,33,526.5,686.4,36.7,0.0838,0.2088,0.0
Paul McBeth,27523,1046.0,74,202.67,616.9,42.7,0.0673,0.1484,0.0
Joel Freeman,69509,1040.0,45,404.16,651.5,39.4,0.0573,0.1502,0.0
Matthew Orum,18330,1030.0,41,428.37,642.6,40.1,0.052,0.1308,0.0
Lauri Lehtinen,82297,1036.0,44,407.18,624.6,41.5,0.0423,0.1079,0.0
Evan Scott,89394,1027.0,38,476.89,642.2,40.0,0.0378,0.1055,0.0
Albert Tamm,76669,1022.0,39,468.59,580.9,44.8,0.005,0.0189,0.0
Daniel Davidsson,76456,1035.0,63,285.67,487.9,54.7,0.003,0.0105,0.0
Harry Chace,131546,1026.0,43,411.25,539.6,48.8,0.0029,0.0121,0.0
Robert Burridge,96512,1024.0,42,420.49,545.0,48.2,0.0027,0.0111,0.0
Ty Love,89959,1023.0,48,385.0,525.8,50.2,0.0021,0.0078,0.0
Chandler Kramer,139228,1025.0,56,343.9,510.7,51.9,0.0017,0.0075,0.0
Andrew Miranda,118426,1023.0,49,382.29,513.9,51.4,0.0013,0.0052,0.0
Clay Edwards,91397,1021.0,40,447.57,545.3,48.0,0.001,0.0055,0.0
Ezra Aderhold,121715,1023.0,47,391.23,507.9,52.0,0.001,0.0043,0.0
Harper Thompson,60259,1025.0,51,363.61,491.2,53.9,0.0008,0.0035,0.0
Jake Hebenheimer,43762,1018.0,46,403.26,511.4,51.4,0.0005,0.0021,0.0
Eetu Tuominen,131056,1036.0,52,361.5,498.9,53.1,0.0005,0.0032,0.0
Elijah Bickel,94844,1023.0,53,351.84,477.2,55.5,0.0003,0.0016,0.0
Jonathan Borzick,119794,1032.0,80,180.55,375.2,67.4,0.0003,0.0011,0.0
Colin Bryant,130709,1032.0,82,173.38,364.4,68.7,0.0002,0.001,0.0
Zach Arlinghaus,65266,1022.0,54,347.43,456.4,57.9,0.0002,0.0008,0.0
Teemu Lampainen,107567,1025.0,59,313.83,425.9,61.6,0.0001,0.0004,0.0
Ryan Monn,144929,1019.0,50,377.58,469.9,56.2,0.0001,0.0006,0.0
Austen Bates,130724,1024.0,69,238.28,379.1,66.8,0.0001,0.0003,0.0
Joona Heinänen,58926,1029.0,66,262.5,372.6,67.5,0.0001,0.0004,0.0
Cale Leiviska,24341,1037.0,130,53.83,285.4,82.2,0.0,0.0004,0.0
Andrew Presnell,63765,1029.0,73,220.17,342.9,71.1,0.0,0.0002,0.0
James Conrad,17295,1018.0,55,346.57,425.5,61.5,0.0,0.0001,0.0
Calvin Lonnquist,145206,1017.0,61,298.9,385.9,66.2,0.0,0.0,0.0
Garrett Gurthie,13864,1022.0,70,234.71,362.9,68.7,0.0,0.0001,0.0
Gavin Phillips,119504,1017.0,57,334.88,440.8,59.7,0.0,0.0002,0.0
Rasmus Saukkoriipi,136325,1021.0,64,280.89,403.1,64.2,0.0,0.0001,0.0
Nestori Tuhkanen,110462,1026.0,71,233.5,331.5,72.3,0.0,0.0001,0.0
Noah Meintsma,56555,1023.0,72,229.77,327.3,72.8,0.0,0.0,0.0
Luke Humphries,69424,1013.0,60,312.05,368.4,68.4,0.0,0.0,0.0
Onni Ruusunen,131002,1031.0,62,297.16,394.3,65.1,0.0,0.0001,0.0
Dallas Garber,138089,1018.0,65,270.94,355.5,69.6,0.0,0.0,0.0
Alden Harris,98091,1019.0,67,251.0,313.9,74.2,0.0,0.0,0.0
Levi Stout,118179,1020.0,68,249.91,358.2,69.2,0.0,0.0,0.0
Connor O'Reilly,99648,1012.0,75,202.56,248.7,82.3,0.0,0.0,0.0
Maico Rimmel,75444,1022.0,76,193.2,230.5,85.4,0.0,0.0,0.0
Fritiof Fagergren,135125,1016.0,77,187.34,225.6,86.1,0.0,0.0,0.0
Nathan Queen,68286,1023.0,78,183.5,298.1,76.4,0.0,0.0,0.0
Chris Clemons,50401,1015.0,79,183.47,254.9,81.7,0.0,0.0,0.0
Miio Hämäläinen,201845,1020.0,81,175.8,207.3,89.4,0.0,0.0,0.0
Luke Samson,59419,1014.0,83,166.11,219.4,87.2,0.0,0.0,0.0
Bo McLaughlin,87143,1018.0,84,164.39,229.8,85.7,0.0,0.0,0.0
Justus Sarvi,165010,1023.0,85,161.34,201.8,90.7,0.0,0.0,0.0
Joey Temali,100818,995.0,86,148.34,157.1,99.2,0.0,0.0,0.0
Jakub Knápek,68237,1023.0,87,145.5,216.4,88.6,0.0,0.0,0.0
Oiva Päivänsalo,157441,1015.0,88,144.58,164.9,98.2,0.0,0.0,0.0
Nikola Arkko,199203,1018.0,89,135.38,161.8,99.7,0.0,0.0,0.0
Roland Kõur,108695,1022.0,90,129.5,167.0,99.3,0.0,0.0,0.0
Elias Luukkonen,106059,1012.0,91,128.51,144.3,104.7,0.0,0.0,0.0
Arvid Håkansson,119628,1016.0,92,128.36,166.2,98.9,0.0,0.0,0.0
Otto Mäkinen,159317,1021.0,93,126.2,185.7,95.0,0.0,0.0,0.0
Matt Bell,48950,1015.0,94,126.04,156.8,101.7,0.0,0.0,0.0
Jesse Longenecker,149546,1024.0,95,122.34,222.6,88.0,0.0,0.0,0.0
Elijah Rider Brandt,143853,1009.0,96,119.73,168.4,97.6,0.0,0.0,0.0
Linus Carlsson,82098,1017.0,97,115.21,156.8,102.2,0.0,0.0,0.0
Rainers Balodis,158640,1024.0,98,114.71,191.6,94.7,0.0,0.0,0.0
