,,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber,ModelRunNumber
FinalStandings,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,168,169
PDGANumber,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7438,Juliana Korver,0,0,0,0,0,0,3,441,301,151,79,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7646,Sheila Kirkham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,574,26,0,0,0,0,0
8559,Ragna Bygde Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,89,269,333,227,59,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15354,Jennifer Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,172,341,272,151,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24356,Michelle Frazer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,1,1,0,1,1,5,15,8,3,0,1,2,1,0,2,7,11,21,29,23,21,10,28,22,23,25,28,29,36,39,48,82,69,82,61,48,38,39,35,28,8,13,5,2,9,11,6,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25166,Sarah DeMar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,111,240,277,207,97,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27725,Kristine King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,86,284,350,203,63,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27832,Kona Star Panis,0,0,0,6,25,227,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
